rating,ulasan,tanggal,nama_pengguna
negatif,"APLIKASI SAMPAH, dana buat bikin aplikasi di KORUPSI? sampe aplikasi yang harusnya memudahkan masyarakat malah mempersulit, mau daftar susah, otp ga ke kirim kirim, Verifikasi wajah mau 100 tahun pun ga akan bisa, nomor telepon berubah sendiri yang awalnya berakhiran 4096 menjadi 295, kalau gini caranya login gimana kocak, saya lupa password, mau reset tapi nomor keganti sendiri? kocak. aplikasi sampah",8 April 2025,felisya
negatif,"Aplikasi Rusak!! Issue critical gak fix""dari tahun lalu!!! Mau daftar aja gak bisa, kirim verifikasi OTP kg ada respon sama sekali sampe waktu tunggu abis baru datang kodenya. Pas switch dari aplikasi message/email ke app JKN langsung mulai dari awal lagi. Trus kapan selesainya ini proses pendaftaran kalo tiap pindah app langsung kembali ke dari awal lagi Mohon di perbaiki!!!",1 Mei 2025,Harlly Pundoko
negatif,"Aplikasi jelek, sebenernya dibuat untuk memudahkan apa menyulitkan masyarakat? verifikasi wajah buat pengguna baru susah ga bisa bisa, kode otp sama sekali ga masuk, udah coba di 2 hp, ga ada kode otp yang masuk, tolong diperbaikin dong.",23 April 2025,nur laeli
negatif,"Kirain cuman sendiri yg OTPnya ga ke kirim, liat ulasan trnyata banyak yg ngalamin juga. Udh pake 3 nomor tetep aja ga bisa masuk OTP. Jaringan dah diganti ke paling kenceng juga ga bisa, hadehhh. Aplikasinya jadinya buat apa?? tambahan: Ini udh pake no yg aktif, pulsaku jg banyak yaa Adminn, masih aja ga bisa masuk OTPnya",2 Mei 2025,Baiq Nada
negatif,"Penambahan fitur dan menu didalam aplikasi ini sudah bisa dikatakan cukup baik. Namun ada satu masalah sederhana yang sudah cukup untuk membuat aplikasi ini useless, yaitu ""Verifikasi Wajah Untuk Mendaftar Peserta Baru"". Pada saat saya ingin mendaftar dan kemudian melakukan verifikasi wajah, hasilnya adalah 0 tidak terjadi apa apa. Saya sudah berada didepan kamera lebih dari 5 menit, namun aplikasi tetap pada tampilan kamera.Teruntuk Software Developer Mobile JKN, bersungguh-sungguh lah!",8 April 2025,Yoel Pratama
negatif,"pesan cerifikasinya gk sampe sampe untuk registrasinya, mau verifikasi email dan no hp, untuk pengembang mohon di develop yang benar jangan buang buang anggaran kalau lelet seperti ini, bahlan saya ganti email dan no hpnya 2x lebih tetap ga masuk sms dan emailnya. Udah 2025 masih aja lelet diregistrasi simple",1 Mei 2025,Nawa Fitriana
negatif,"Aplikasi buruk, tidak bisa verifikasi, pesan notifikasi tidak masuk2 di hp sudah dicoba puluhan kali, sudah diisi pulsa juga. Uninstal saja jangan pasang cuma buang2 memori, aplikasi yang sangat amat tidak membantu sama sekali.",17 April 2025,Elsander Bimantara
negatif,"Aplikasi macam apa iniiii,mau daftar aja susah banget,kode otp Sampek di klik 3 kali gak masuk, verifikasi wajah Sampek 4 kali gak bisa, padahal tempat terang, wifi lancar,muka udah jelas banget ada di bingkai. Tolong dong,kalo mau bikin aplikasi yg bener dikit!!!!!!,kalo ada bintang 0 dah di kasih 0 deh",8 Maret 2025,Hani Ajaaa
negatif,"Aplikasi sampah, proses pendaftaran dibuat ruwet dengan verifikasi wajah. Posisi wajah sudah bener dan sesuai intruksi tapi ada tulisan gagal (offline), wifi aman gada trouble dan lancar aja buka sosmed dll. Kalo mau serba digital diimbangi dengan SDM yang bermutu untuk aplikasinya, maintenance lebih sering biar tau apa kekurangannya. Saran orang lain diterima dan dilakukan jangan cuma iya iya aja tapi aplikasinya masih sering error gada perbaikan.",10 Maret 2025,Maulana Ishaq
negatif,"aplikasi sangat tdk bersahabat, terutama bagi lansia, karena bolak-balik/terlalu intens meminta pasword, sementara para lansia yg hidup sendiri sdh tdk mempunyai memori yg cukup baik, catcha sangat sulit dibaca (terutama bg lansia yg hidup mandiri/sendiri)",21 April 2025,Sam Simanjuntak
negatif,"Untuk registrasi gagal terus, error setelah di refresh2 ulang. Tolong ya dibenahi kalau memang mau membantu serba digital. Supaya akses bisa dilakukan kapan saja. Minta tolong benar2 dibenahi bukan asal2an berbasis aplikasi namun masalah error gk teratasi",8 Maret 2025,Rahma Apriliana Dewi
negatif,"Aplikasi sama ga jelasnya sama jak sehat. Setiap kali dicoba buat daftar online ga pernah bisa, ada aja kendalanya. Sudah banyak ulasan yang kasih feedback kurang menyenangkan, belum juga ada perbaikan. Dibalas saja tidak. KALAU ADA FEEDBACK DIBACA PAK/BUK, lebih baik lagi dibenahi. Di lapangan kalau periksa disarankan online, aplikasi aja ga ada yang bisa buat daftar.",23 Februari 2025,Heny Widianingsih
